State,SC Code,SC Name,Total Population
JAMMU & KASHMIR,1,Barwala,33225
JAMMU & KASHMIR,2,Basith,24407
JAMMU & KASHMIR,3,Batwal,43945
JAMMU & KASHMIR,4,"Chamar or Ramdasia, Chamar-Ravidas, Chamar-Rohidas",212032
JAMMU & KASHMIR,5,"Chura, Bhangi, Balmiki, Mehtar",6918
JAMMU & KASHMIR,6,Dhyar,8343
JAMMU & KASHMIR,7,"Doom or Mahasha, Dumna",193803
JAMMU & KASHMIR,8,Gardi,4596
JAMMU & KASHMIR,9,Jolaha,306
JAMMU & KASHMIR,10,Megh or Kabirpanthi,359105
JAMMU & KASHMIR,11,Ratal,2784
JAMMU & KASHMIR,12,Saryara,15825
JAMMU & KASHMIR,13,Watal,146
HIMACHAL PRADESH,1,Ad Dharmi,6217
HIMACHAL PRADESH,2,"Badhi, Nagalu",22352
HIMACHAL PRADESH,3,"Balmiki,  Bhangi,  Chuhra, Chura,  Chuhre",34690
HIMACHAL PRADESH,4,Bandhela,58
HIMACHAL PRADESH,5,Bangali,4294
HIMACHAL PRADESH,6,Banjara,3285
HIMACHAL PRADESH,7,Bansi,1419
HIMACHAL PRADESH,8,Barad,5890
HIMACHAL PRADESH,9,"Barar, Burar, Berar",116
HIMACHAL PRADESH,10,Batwal,16690
HIMACHAL PRADESH,11,"Bauria, Bawaria",497
HIMACHAL PRADESH,12,Bazigar,2365
HIMACHAL PRADESH,13,"Bhanjra, Bhanjre",4917
HIMACHAL PRADESH,14,"Chamar, Jatia Chamar, Rehgar,  Raigar,  Ramdasi, Ravidasi,  Ramdasia,  Mochi",458838
HIMACHAL PRADESH,15,Chanal,24340
HIMACHAL PRADESH,16,"Chhimbe, Dhobi",18076
HIMACHAL PRADESH,17,Dagi,4683
HIMACHAL PRADESH,18,Darain,544
HIMACHAL PRADESH,19,"Darai, Daryai",10982
HIMACHAL PRADESH,20,"Daule, Daole",4134
HIMACHAL PRADESH,21,"Dhaki, Toori",9657
HIMACHAL PRADESH,22,Dhanak,172
HIMACHAL PRADESH,23,"Dhaogri, Dhuai",1606
HIMACHAL PRADESH,24,"Dhogri, Dhangri, Siggi",6033
HIMACHAL PRADESH,25,"Doom, Doomna, Dumna, Dumne,  Mahasha",83757
HIMACHAL PRADESH,26,Gagra,33
HIMACHAL PRADESH,27,"Gandhila, Gandil Gondola",92
HIMACHAL PRADESH,28,Hali,43218
HIMACHAL PRADESH,29,Hesi,3209
HIMACHAL PRADESH,30,Jogi,21096
HIMACHAL PRADESH,31,"Julaha, Julahe, Kabirpanthi,  Keer",155956
HIMACHAL PRADESH,32,"Kamoh, Dagoli",316
HIMACHAL PRADESH,33,Karoack,38
HIMACHAL PRADESH,34,Khatik,587
HIMACHAL PRADESH,35,"Kori, Koli",499473
HIMACHAL PRADESH,36,Lohar,170046
HIMACHAL PRADESH,37,"Marija, Marecha",26
HIMACHAL PRADESH,38,Mazhabi,460
HIMACHAL PRADESH,39,Megh,1779
HIMACHAL PRADESH,40,Nat,311
HIMACHAL PRADESH,41,Od,1135
HIMACHAL PRADESH,42,Pasi,1496
HIMACHAL PRADESH,43,Perna,15
HIMACHAL PRADESH,44,"Phrera,  Pherera",1744
HIMACHAL PRADESH,45,"Rehar, Rehara",3018
HIMACHAL PRADESH,46,Sanhai,2585
HIMACHAL PRADESH,47,Sanhal,220
HIMACHAL PRADESH,48,"Sansi, Bhedkut, Manesh",2276
HIMACHAL PRADESH,49,Sansoi,1389
HIMACHAL PRADESH,50,Sapela,62
HIMACHAL PRADESH,51,"Sarde, Sarera, Sarare, Siryare,  Sarehde",15943
HIMACHAL PRADESH,52,Sikligar,1476
HIMACHAL PRADESH,53,Sipi,26907
HIMACHAL PRADESH,54,Sirkiband,63
HIMACHAL PRADESH,55,Teli,9425
HIMACHAL PRADESH,56,"Thathiar, Thathera",662
HIMACHAL PRADESH,57,Barwala,285
PUNJAB,1,Ad Dharmi,1017192
PUNJAB,2,"Balmiki, Chuhra, Bhangi",866953
PUNJAB,3,Bangali,4690
PUNJAB,4,"Barar, Burar, Berar",8451
PUNJAB,5,"Batwal, Barwala",19979
PUNJAB,6,"Bauria, Bawaria",125259
PUNJAB,7,Bazigar,241125
PUNJAB,8,Bhanjra,3659
PUNJAB,9,"Chamar, Jatia Chamar, Rehgar,  Raigar,  Ramdasi,  Ravidasi, Ramdasia, Ramdasia Sikh,  Ravidasia,  Ravidasia Sikh",2078132
PUNJAB,10,Chanal,97
PUNJAB,11,Dagi,322
PUNJAB,12,Darain,865
PUNJAB,13,"Deha, Dhaya, Dhea",10560
PUNJAB,14,Dhanak,89406
PUNJAB,15,"Dhogri, Dhangri, Siggi",391
PUNJAB,16,"Dumna, Mahasha, Doom",202710
PUNJAB,17,Gagra,799
PUNJAB,18,"Gandhila, Gandil Gondola",3513
PUNJAB,19,"Kabirpanthi, Julaha",84711
PUNJAB,20,Khatik,14482
PUNJAB,21,"Kori, Koli",24921
PUNJAB,22,"Marija, Marecha",260
PUNJAB,23,"Mazhabi, Mazhabi Sikh",2633921
PUNJAB,24,Megh,141023
PUNJAB,25,Nat,3902
PUNJAB,26,Od,32061
PUNJAB,27,Pasi,39111
PUNJAB,28,Perna,68
PUNJAB,29,Pherera,80
PUNJAB,30,Sanhai,359
PUNJAB,31,Sanhal,1538
PUNJAB,32,"Sansi, Bhedkut, Manesh",122201
PUNJAB,33,Sansoi,456
PUNJAB,34,Sapela,5872
PUNJAB,35,Sarera,14419
PUNJAB,36,Sikligar,11807
PUNJAB,37,Sirkiband,57555
PUNJAB,38,Mochi,8763
PUNJAB,39,"Mahatam, Rai Sikh",516695
CHANDIGARH,1,Ad Dharmi,3495
CHANDIGARH,2,Bangali,589
CHANDIGARH,3,"Barar,  Burar or Berar",243
CHANDIGARH,4,"Batwal, Barwala",281
CHANDIGARH,5,Bauria or Bawaria,410
CHANDIGARH,6,Bazigar,1748
CHANDIGARH,7,"Balmiki, Chura or Bhangi",79458
CHANDIGARH,8,Bhanjra,325
CHANDIGARH,9,"Chamar,  Jatia Chamar,  Rehgar,   Raigar,   Ramdasi or Ravidasi",59957
CHANDIGARH,10,Chanal,86
CHANDIGARH,11,Dagi,98
CHANDIGARH,12,Darain,78
CHANDIGARH,13,Dhanak,2858
CHANDIGARH,14,"Dhogri,  Dhangri or Siggi",127
CHANDIGARH,15,"Dumna,  Mahasha or Doom",660
CHANDIGARH,16,Gagra,92
